=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-3-28_20-2-58
====================================================================================
20:2:58 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
20:2:58 | [PermissionManager] Perm (FreeCamera) has been registered!
20:2:58 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
20:2:58 | [PermissionManager] Perm (MenuItemManager) has been registered!
20:2:58 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
20:2:58 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
20:2:58 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
20:2:58 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
20:2:58 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
20:2:58 | [PermissionManager] Perm (MenuServerManager) has been registered!
20:2:58 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
20:2:58 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
20:2:58 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
20:2:58 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
20:2:58 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
20:2:58 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
20:2:58 | [PermissionManager] Perm (MenuObjectManager) has been registered!
20:2:58 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
20:2:58 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
20:2:58 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
20:2:58 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
20:2:58 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
20:2:58 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
20:2:58 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
20:2:58 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
20:2:58 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
20:2:58 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
20:2:58 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
20:2:58 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
20:2:58 | [PermissionManager] Perm (MenuBansManager) has been registered!
20:2:58 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
20:2:58 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
20:2:58 | [PermissionManager] Perm (MenuWebHooks) has been registered!
20:2:58 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:2:58 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:2:58 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:2:58 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:2:58 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:2:58 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:2:58 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:2:58 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:2:58 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:2:58 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:2:58 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:2:58 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:2:58 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:2:58 | [PermissionManager] Adding Super Admin (76561198253386609)
20:2:58 | [PermissionManager] Adding Super Admin (76561198950594742)
20:2:58 | [PermissionManager] Adding Super Admin (76561198329721265)
20:2:58 | [PermissionManager] Adding Super Admin (76561198140728342)
20:2:58 | [PermissionManager] Loaded UserGroups.json
20:2:58 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:2:58 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:2:58 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:2:58 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:2:58 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:2:58 | Building Sets Loaded: 2
20:7:38 | Player "BRUXO" (steamId=76561198140728342) connected to server!
20:8:46 | "BRUXO" (steamid=76561198140728342) gave godmode to (steamid=76561198140728342)
20:8:56 | "BRUXO": (steamid=76561198140728342) teleported to (pos=4208.5,0,2338.01)
20:9:46 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:9:57 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:10:13 | "BRUXO": (steamid=76561198140728342) teleported to (pos=5520.1,0,3845.27)
20:10:20 | "BRUXO": (steamid=76561198140728342) teleported to (pos=5621.12,0,2625.49)
20:10:24 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:10:29 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<5612.003906, 13.689032, 2654.618164>)
20:11:0 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<5668.676270, 24.129175, 2652.328613>)
20:11:5 | "BRUXO": (steamid=76561198140728342) teleported to (pos=5485.02,0,3819.34)
20:11:6 | "BRUXO": (steamid=76561198140728342) teleported to (pos=5489.14,0,3835.84)
20:11:8 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:11:43 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:11:51 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<5512.458008, 15.257970, 3853.394287>)
20:11:52 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:12:27 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:12:40 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<5467.280762, 62.382969, 4048.319092>)
20:12:41 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:12:48 | "BRUXO": (steamid=76561198140728342) teleported to (pos=3581.49,0,3609.65)
20:12:54 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:13:6 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<3595.625732, 7.200642, 4052.100830>)
20:13:8 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:13:15 | "BRUXO": (steamid=76561198140728342) teleported to (pos=3533.84,0,5264.75)
20:13:20 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:13:52 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<3555.595215, 7.068985, 5285.634277>)
20:13:53 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:14:4 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:14:8 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<3367.223145, 7.373079, 5532.988281>)
20:14:8 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:14:21 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<3463.213135, 7.322704, 5455.186523>)
20:14:21 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<3472.654297, 8.367586, 5453.261719>)
20:14:39 | "BRUXO": (steamid=76561198140728342) teleported to (pos=2450.68,0,3857.6)
20:14:42 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:15:2 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<2217.967529, 13.967890, 4473.457520>)
20:15:3 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:15:8 | "BRUXO": (steamid=76561198140728342) teleported to (pos=1061.52,0,3731.68)
20:15:11 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:15:39 | "BRUXO" (steamid=76561198140728342) teleported to crosshair (pos=<1038.732056, 24.487072, 3754.508057>)
20:15:50 | "BRUXO" (steamid=76561198140728342) toggled freecam
20:15:53 | "BRUXO" (steamid=76561198140728342) toggled freecam
